SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
60.38,0.76,18.2675,5.24,6.9,1.86,0.11,1.72,4.38,0.3401,24.61648404,50.62,6.254951506,27.21,5.879196483,1.45,4.51,1.06,4.717110686,0.86,2.583193486,0.46,1.83,0.31,1020,19.12,60.50768974,990,4.698738987,13.5,1.146334693,30,10.06495472,18.70663084,195,12.08946047,90,18.73970424,43.41145301,6.1,1.287473015,0.706066946,81.88951049,7.37704918,53.34728033,9.138027554,27.66120219,10.19874477,4.187049048,2.577656113,3.212675674,33.16779777,0.059321264,14.86885246,0.065975148,2.64748954,1.423117155,16.39344262,2.464480874,11,55.45454545,1.569037657,1.550086068,3.590851148,0.208218936,0.482349478,45.39016423,123.5,1,47.225,122.9856
68.3638,0.4754,15.55,3.1459,2.9031,1.3,0.0573,3.4272,4.4262,0.19,20.86628422,40.97893356,4.2,16.55573271,3.63,0.93,2.64,0.36,1.894110602,0.354258545,0.956032529,0.142503227,0.91,0.145787539,700,11.18,80.1678298,1052.462897,3.341444031,7.6,0.563921191,7.5,1.745959127,20.01479605,125,8.7,49.72162943,6.887837984,14.06829142,7.8534,1.866393937,0.679785331,120.9727468,8.351648352,62.6118068,15.57690805,45.03179512,11.18067979,5.748287664,2.081440222,3.989010989,34.43526171,0.114525471,18.19311287,0.043630101,3.665378673,1.480834768,8.241758242,2.901098901,21.16710392,137.0575916,0.670840787,0.791705515,1.617044991,0.138528002,0.282941078,52.98218789,116.9,1,47.309,122.6682
74.63,0.252,13.3659,1.76,0.59,0.5362,0.0545,2.65,4.4832,0.0651,33.33,60.76868558,6.805814549,23.68,4.12,0.59,2.67,1.16,2.98678622,0.562863705,1.88,0.272461098,1.42,0.28,177.6969629,12.54,87.48722409,700,4.105006937,12.5,1.07808943,10.5,2.267026383,14.7601946,145,6,35,5.6,13.09201193,7.1332,2.657894737,0.996810207,116.6666667,8.802816901,14.17041171,15.94499911,42.794849,11.56299841,8.089805825,2.103370577,2.901408451,35.19417476,0.492339445,16.67605634,0.068209385,4.845987686,1.888357257,7.394366197,1.88028169,20,130.8844037,0.837320574,0.933333333,2.182001988,0.16,0.374057484,35.91847045,123.5,1,45.8062,121.7518
73.09,0.36,14.2129,2.51,2.09,1.1518,0.0641,3.935,4.03,0.1,28.2,67.26500926,7.56,23.98,5.557683411,0.864050019,3.12,0.89,2.92,0.623025546,1.92,0.303275077,1.970522116,0.303532541,240.9622526,15.39,122.2826342,680,4.068575431,13.25125336,1.233748476,14.54429836,3.296146324,21.98447611,145,7.6,40.54677363,8.188656692,20.49972008,7.965,1.832358674,0.861030108,89.47368421,6.724742266,15.65706645,9.721769611,34.13562767,9.421702404,5.074056565,1.481840765,2.820411588,26.09000716,0.507476308,12.16936354,0.074604133,4.370695858,1.558154646,7.380936373,1.583336708,16.77075484,124.2589704,0.945048626,1.077454828,2.697331589,0.201955814,0.505582029,37.65118815,126.3,1,46,122
72.98,0.2995,14.4663,3.05,2.0122,0.739,0.0652,2.98,5.04,0.0898,20.50176058,47.3,6.06,22.41,4.63,0.8,3.96,0.81,4.133188024,0.79,2.460529175,0.398882992,2.12,0.411410339,250,19.37,75.92703512,450,3.873628872,9.487927224,0.730791973,7.754080662,1.810742367,9.72682778,145,8.327084472,55,16,41.47574235,8.02,1.058428528,0.489825876,54.04052301,4.47543737,12.90655653,6.569507709,22.31132075,7.485802788,4.428026043,1.949616992,2.183962264,31.3174946,0.30370814,10.57075472,0.106207991,2.441920496,1.156943727,3.657585218,1.867924528,8.181818182,123.006135,0.400313922,1.921440818,4.980824019,0.290909091,0.754104406,30.02110182,132.7,1,46,122
67.07,0.5513,16.1,3.75,0.68,3.89,0.0816,3.24,3.615,0.05,51.21,89.38732148,9.46,39.27,6.846658158,1.428065932,6.187737623,0.94,5.74,1.067828451,2.964401334,0.414695559,2.606883719,0.384186059,330,31.85,93.40622919,960,4.971887294,13.57612483,0.893643417,9.4,2.169016594,18.68603382,210,9,72,6.4,15.24043981,6.855,1.607849294,0.426251957,106.6666667,5.207798388,10.3610675,13.34475627,34.28895613,6.593406593,7.479561389,2.201862691,2.626376508,30.6718979,0.283049179,15.06396304,0.077271675,2.806509309,1.232967033,3.605837856,2.373614741,13.33333333,84.00735294,0.295133438,0.711111111,1.693382201,0.088888889,0.211672775,29.88525128,137,1,45.5,127.66
64.98,0.68,16.4097,4.5375,4.36,1.78,0.0852,2.9498,4.52,0.2051,37.51,73.04645681,8.468915869,32.3,6.58,1.34,4.59,1.005155808,4.01,1.246632506,3.805010208,0.64,2.56,0.4,357.3552349,38.79965128,104.7727949,666.9858902,5.923127218,18,1.312199592,12.5,3.904721984,19.12266824,237.374695,10.5,95,13.5,35.08314218,7.4698,0.966761266,0.463921695,63.52246573,7.03125,9.210269245,9.953701872,28.53377219,6.117959496,5.700607903,1.56640625,2.5703125,36.07518161,0.293189478,12.6171875,0.067531894,1.88265756,0.832481709,4.8828125,1.79296875,7.020904107,87.67370892,0.322167844,1.285714286,3.341251636,0.142105263,0.369296233,32.21991326,124,1,45.587,127.611
73.7462,0.28,13.64,1.6573,0.9866,0.35,0.02,5.58,2.42,0.1,40.34,73.41,8.114358884,29.5,5.36,0.715245875,4.954308776,0.95,4.254981363,0.82,2.16,0.48,2.638206338,0.38,115,21.31,187.5248168,760,5.15657107,14.98792665,1.282173854,19.76036279,3.659567204,23.42012761,176.5019844,5.3,22.98133991,10.5,28.37300903,8,1.893007977,0.703328327,143.3962264,5.681104785,5.396527452,10.38734759,27.82572346,8.282589601,7.526119403,1.61283115,2.031683391,32.9294747,1.630650581,11.18183956,0.073692381,3.444861567,1.384326607,7.490074793,1.877907996,33.07030848,400,0.92728122,1.981132075,5.35339793,0.45689242,1.234610738,38.12845855,122,1,45.5,127.66
69.3332,0.43,14.11,3.0726,2.2963,1.2257,0.0846,3.8,4.0505,0.1439,31.29174522,65.17,5.61,20.75007819,4.43,0.82,3.806620252,0.678627121,3.278168981,0.62,2.53,0.400401596,2.98,0.38,235.1367394,23.96287553,105.2591517,550,5.764423219,10.6602897,0.835426939,10.92608909,3.583879832,18.56085087,210,6.7,42,13.5,32.41580863,7.8505,1.305842664,0.444866881,82.08955224,3.577278423,9.812542702,7.133309235,21.86912752,8.763555932,7.063599372,1.100056705,1.486577181,47.40406321,0.447650809,6.963113487,0.0659216,2.719623524,0.865926051,3.666472849,1.277389346,13.0952381,92.79550827,0.455959014,2.014925373,4.838180393,0.321428571,0.771804967,30.01454062,113.4,1,45.5,127.66
76.0922,0.1441,12.77,2.54,0.39,0.28,0.03,4.8,3.5879,0.0554,19.37716948,49.31585309,5.583055281,15.8039584,7.831057705,0.28,9.568080904,2.19,12.58543992,2.565639294,6.95,1.15,6.54,0.93,56.30943377,72.02,284.7134113,135,7.133053803,68,4.499389024,16.5,5.728300941,28.94185307,174.7923737,4,22,14,58.48652429,8.3879,0.269052617,0.944182172,33.75,10.39755352,0.781858286,2.012751317,7.54065032,2.426997691,2.474400038,1.924379193,1.197409435,22.32040425,5.056229343,2.416507401,0.130378941,0.684752195,0.219438467,2.52293578,1.463009313,6.136363636,279.5966667,0.229103027,3.5,14.62163107,0.636363636,2.658478377,45.22283124,124.1,1,44.4826,126.3602
