SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
63.3,0.664,16.4928,4.532,4.7,2.6183,0.0747,2.91,4.3573,0.29,49.9332554,88.8,9,34.11873278,6.2,1.495437867,4.08,0.50743945,2.41,0.40079383,0.931556306,0.135556778,0.88,0.15,920.4830129,10.57795752,67,1593.898306,3.4,7.7,0.6,8.5,1.541907247,41,168.3637171,13,102.4786825,26.45959939,52.31826975,7.2673,4.720500655,0.727928807,122.607562,8.75,87.01897424,38.5464812,100.9090909,15.9164675,8.053750871,2.738636364,7.045454545,27.15543824,0.072787872,38.77128725,0.044117647,8.394815335,3.225455644,9.659090909,4.636363636,15.55346212,97.28647925,0.803557774,2.035353799,4.024482288,0.258196132,0.510528321,54.7060599,116.2,1,35.28,118.18
54.5453,0.9976,17.95,6.97,7.06,8.31,0.21,2.56,2.7,0.31,56.7,103,11.2,41.72144362,6.719347877,1.724002317,5.26,0.728195865,3.67,0.700513493,1.9,0.282173422,1.75,0.264516806,775.0327647,19.9,66.8,1393.402751,4.04,10.21738967,0.617492661,9.16,1.46,18.01474571,156,23,177,250.1484052,560,5.26,2.849246231,0.513436667,60.5827283,5.838508383,38.94637009,22.01012658,58.85714286,7.83919598,8.438318872,2.097142857,3.839627358,23.2165387,0.086189905,23.84082493,0.065474457,5.175879397,2.096554956,5.234285714,3.005714286,7.872331927,25.04761905,0.460301508,10.87601762,24.34782609,1.413267826,3.163841808,39.37029758,120,20,37.65,120.33
51.9277,1.382,18.17,7.92,9.026,9.32,0.2,1.98,3.4319,0.6259,52.2,95.84073209,10.9,42.7,6.985715367,1.968186786,5.73,0.753288343,4.016024226,0.729620745,1.851235716,0.27,1.76,0.28,866,22.6,42,1199.585276,3.76,7.11,0.475073888,4.036251294,1.15,9.968480664,140,25.15280146,184,238,442.9113884,5.4119,2.309734513,0.31460177,47.69191527,4.039772727,38.31858407,20.1481588,54.45496141,6.194690265,7.472391481,2.281831947,3.969156459,20.04089669,0.048498845,24.26136364,0.074468085,4.240740358,1.889380531,2.293324599,3.255681818,6.519485196,27.0595,0.17859519,9.462166685,17.60882934,1.293478261,2.407127111,35.93093005,120,20,37.65,120.33
51.0323,0.26,17.2938,8.084,10.97,6.6808,0.16,1.03,2.6899,0.5445,49.72477531,103.5374794,11,42.17732041,6.924585276,1.951595402,5.695264589,0.790046082,4.237982647,0.817057599,2.18,0.312999852,1.94,0.308112222,777.6887796,21.9,44.6,1061.737669,3.681581947,7.78,0.484045261,6.37,1.525700248,11.0181611,134,29.5,192,94.71887492,245.3497077,3.7199,2.270537685,0.355251142,35.99110742,4.010309278,35.51090318,17.41199884,53.36983474,6.118721461,7.180903018,2.184527138,3.569373854,19.35133942,0.057349419,21.74088681,0.083690171,4.727738785,1.925905042,3.283505155,2.935703396,5.529883693,23.249375,0.29086758,3.210809319,8.316939244,0.493327474,1.277863061,37.90060478,120,20,37.65,120.33
53.06,0.7909,23.42,5.93,8.43,1.76,0.11,2.86,4.1,0.4516,55.4371,102,10.30552211,35.9,5.904080965,1.37,4.39,0.564847305,2.943221285,0.520629699,1.600979429,0.23,1.47407188,0.226551918,961.3197724,17.7,72.8,918,2.95,7.724155496,0.29,8.061555424,3.583561111,15.08552831,107,14.55239235,144,16.76963477,72.17605119,6.96,3.132039548,0.436392966,63.08241133,5.240012784,54.31185155,25.54814499,69.19608289,6.04519774,9.389623945,1.996660628,4.005287018,18.1230577,0.075729224,24.35430761,0.07679726,5.762711864,2.028248588,5.468902523,2.978145136,6.375,63.27272727,0.455455109,1.152362743,4.959737853,0.116455797,0.501222578,36.66994654,120,20,36.65,117.93
54.3959,0.41,17.41,7.7693,7.3272,4.97,0.22,2.6304,3.8063,0.41,31.4,67.6,8.320441164,33.4,6.37,1.42,5.09,0.7,3.740609345,0.74,2.08,0.26,1.815908527,0.284706106,754,20.1,100.8312922,1127,4.07,8.82,0.536731598,7.792581356,1.55,19.32315534,171.2452211,25.6,234,45.79544236,149,6.4367,1.562189055,0.43880597,44.0234375,4.857072847,37.51243781,11.74662786,37.22654473,8.519662741,4.929356358,2.059910667,3.507885945,26.88308024,0.133728504,18.39299695,0.06995236,3.36318408,1.661691542,4.291285183,2.803004625,4.816239316,29.25772727,0.387690615,1.788884467,5.8203125,0.195707019,0.636752137,42.06671356,120,20,36.65,117.93
56.0331,0.9056,19.58,8.17,6.54,4.3767,0.1269,2.09,3.9025,0.18,16.9,40.28614796,4.811068676,18.1,3.72,1.234526884,3.484393298,0.497383704,2.79,0.55,1.46,0.205582752,1.3,0.19,703,14.95278317,52.5,706,2.43,4.16,0.300370846,3.852649697,1.17,6.36,105.6774312,26.3,158.4689788,38.67130806,135,5.9925,1.130224374,0.278209077,26.84410646,3.2,47.01465888,8.831223629,30.98934458,7.067408789,4.543010753,2.146153846,2.861538462,28.40791161,0.074679943,13.92307692,0.0781893,2.694224045,1.210476992,2.96357669,2.680302537,4.455130621,47.22222222,0.257654355,1.470391941,5.133079848,0.244030777,0.851901748,45.86565405,120,20,36.65,117.93
63.8785,0.6557,16.181,4.5234,4.6954,3.1404,0.0717,2.17,4.181,0.21,24.4,50.1,5.74,23.2,4.249764835,1.199983824,3.670769432,0.5147174,2.870896052,0.58,1.54,0.21,1.304094161,0.19,950,15.35969684,62.9,862,3.408260034,6.36,0.442421799,6.13,1.632958729,20.3,146.9103121,11.9034896,102.1861117,24.8,51.8,6.351,1.58857302,0.414070673,72.41573933,4.876948452,61.85017907,12.71037623,38.4174713,9.564662222,5.741494164,2.201448437,3.258786798,34.56904507,0.066210526,17.79012643,0.05574692,3.261783128,1.510446478,4.700580819,2.814803978,8.43558861,88.57740586,0.399096419,2.083422663,4.351665078,0.242694429,0.506918202,43.84537347,120,20,36.65,117.93
50.52,0.15,18.57,9.04,9.47,7.82,0.26,0.9005,3.3787,0.3391,21.1,48.1,5.697211177,23.26599716,4.562204445,1.556956703,4.16,0.57,3.208005976,0.624975454,1.69,0.21,1.43,0.216651133,799.8128717,17.4,30.2990355,473.3582812,2.38,5.04,0.284857351,1.91,0.62,10.28727846,114.9388908,29.08128838,236.7210187,89.1,175.2950425,4.2792,1.212643678,0.289655172,16.27707394,3.524475524,45.96625699,10.02360509,33.63636364,6.605683379,4.624957135,2.243360822,3.190352759,25.19371768,0.037882656,16.26992808,0.091029888,2.764367816,1.337126274,1.335664336,2.909090909,1.999646182,16.45846154,0.109770115,3.063825744,6.027760538,0.376392432,0.740513215,37.3842207,120,20,36.65,117.93
51.1407,2.6166,12.67,14.94,8.9743,4.55,0.2256,1.814,2.75,0.57,29.55985786,72.16925218,8.873958683,33.6,8.09,2.56,8.503096595,1.39,7.9,1.6,3.97,0.639519466,3.85,0.643705757,343,41.73237193,47.1,269,6.611718708,26.1,1.520154511,4.684796589,1,10.85925687,265,30,347,34.88531864,75.15348951,4.564,0.708319621,0.625413769,8.966666667,6.779220779,8.219039181,5.215778525,18.74526031,6.349986539,3.653876126,2.051948052,2.101298701,32.75648949,0.137317784,8.727272727,0.09735831,1.729335018,0.805130369,1.216830283,2.208596518,0.775216138,20.23049645,0.112258095,1.162843955,2.505116317,0.100534059,0.216580661,38.18141383,212,2,39.054,121.5461
