SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
66.4227,0.61,16.6,3.8478,3.0161,1.4444,0.0651,3.687,4.83,0.25,50.73536067,90.5225352,10.14,34.11,6.060466743,1.548544465,4.356693714,0.55,2.87,0.48,1.212900178,0.16,1.19,0.177534601,478,13.04201985,68,1891,4.925493869,9.221241043,0.627328687,7.94,1.558665267,18.08542743,191.0500374,6.142439925,56.82221349,8,7,8.517,3.890145948,0.707040869,307.8581188,7.748942053,36.65076464,28.96285171,76.06935731,14.64880744,8.37152695,2.411764706,5.092829196,31.52398083,0.142259414,28.66386555,0.03604402,6.940837097,2.615392431,6.672268908,3.661087155,33.27923859,130.8294931,0.608801404,1.30241404,1.139612285,0.14079001,0.123191259,46.47703793,143,6,31.35,116.56
62.11,0.8084,17.32,5.3213,3.8878,1.26,0.09,2.38,4.7052,0.34,51.1,95.21619892,10.53,38.83929667,6.762341479,1.79,5.42,0.66,3.62,0.72,1.8,0.257628889,1.61,0.23,446,18.22944295,50.2,923.8152107,6.85,12.48881376,0.630242385,5.950126083,1.316061135,14.00382229,286,12.06433641,109,9.04371265,12.86238996,7.0852,2.803157515,0.685090257,76.57405922,7.75702718,24.46591491,21.56118143,59.14049622,15.68890507,7.556554214,2.248447205,4.200212099,42.29304315,0.112556054,24.12378675,0.033576642,5.223209463,2.130580555,3.695730486,3.366459627,8.475368906,78.72444444,0.32640197,0.749623713,1.066149809,0.082969841,0.118003578,34.110369,143,6,31.35,116.56
68.4,0.65,15.3664,3.6992,2.71,1.7744,0.05,3.593,3.8262,0.1906,37.53464148,73.84278186,8.44,30.82547657,5.57,1.250295255,4.260510489,0.591947275,3.32,0.62,1.65,0.24,1.486977787,0.22,558,16.21,109.49442,1024.383259,4.22,9.4,0.601384894,6.31,1.52309402,18.71094884,153,8.37135916,69,14.16113504,28,7.4192,2.315523842,0.579888957,122.3676155,6.321547021,34.42319556,17.14767805,49.65964018,9.438618137,6.738714808,2.232716607,3.745852863,27.46858169,0.196226559,20.73028719,0.052132701,4.555384445,1.901633348,4.243506564,2.865214616,14.84613419,148.384,0.389265885,1.691617188,3.34473763,0.205233841,0.405797101,41.97667654,143,6,31.19,116.59
64.54,0.66,16.8658,4.4544,2.8294,1.3023,0.1077,3.99,4.6913,0.2333,50.76,101.3,10.51,36.66,8.13,1.57,5.76,0.863286877,4.81,0.87,2.442874312,0.375813335,2.46,0.380775222,492.2033227,24.16,96.4082671,2581,8.19,15.78543981,0.885375367,8.12,1.574305482,17.40191323,357,8.268774412,72,5.913200123,9.246297324,8.6813,2.100993377,0.653370853,312.1381563,6.416845451,20.37265409,14.01728929,41.17886179,14.77649007,6.243542435,1.955284553,3.304878049,43.91143911,0.195870817,14.90243902,0.046492701,4.192880795,1.517384106,3.300813008,2.341463415,35.84722222,80.60631383,0.336092715,0.715124132,1.118218597,0.082127779,0.128420796,37.54001531,143,6,31.35,116.56
64.24,0.87,16.97,4.8114,2.5916,1.0901,0.0736,4.6766,4.48,0.3217,50.4,103.0606055,11.50987056,43.34931459,7.51,1.89,5.83,0.82,4.39,0.85,2.18,0.33,2.09442174,0.3,699.4424168,21.77,89.7,1779,6.97,12.4,0.688478443,8.07,1.407070875,17.60890217,294,7.881415316,68.54984126,11,14,9.1566,2.31511254,0.569591181,225.7208799,5.920488583,32.12872838,16.34722082,49.20718857,13.50482315,6.711051931,2.096043942,3.585715263,39.14780293,0.12824501,20.69750985,0.043041607,4.73406548,1.991240909,3.853092167,2.783584552,25.95192005,124.4103261,0.370693615,1.395688409,1.776330702,0.160467184,0.204230962,38.71493853,143,6,31.35,116.56
64.6856,0.7115,16.8793,4.69,2.2294,1.0477,0.06,4.5225,5.66,0.2182,49.79012071,96.82,10.37,37.35,6.807771045,1.55,5.49,0.853684492,4.77,0.95,2.66,0.4,2.73,0.39738611,567,23.2,90.1,3261,9.12,14,0.81,6.91,1.372874036,18.11587347,336.9588447,8.517255321,69.18941501,11,28,10.1825,2.146125893,0.603448276,382.8698186,5.128205128,24.43965517,12.38962216,35.46520147,14.52408813,7.313718452,1.747252747,2.493689027,49.49620698,0.158906526,13.68131868,0.043573038,4.173275862,1.609913793,2.531135531,2.010989011,47.1314868,169.7083333,0.297844828,1.291495862,3.287444012,0.158983856,0.404686179,37.41906989,143,6,31.35,116.56
63.5259,0.7808,16.78,5.06,3.6962,1.66,0.05,2.51,5.85,0.33,54.26047921,100.5428861,11.43,42.47994544,7.36,1.74,5.284739729,0.682687917,3.563426622,0.681779733,1.91,0.23,1.67,0.22,840.966518,19.25356169,56.37948015,1071.350897,6.71,13.34165742,0.55,6.91,1.450075958,14.54463681,278,8.786732266,84.07805421,8.623077588,9.302512392,8.36,2.81820476,0.692944902,121.928251,7.989016419,43.67849084,22.07215228,60.20532102,14.43888692,7.372347719,2.133788396,4.407185629,37.77173913,0.06704129,25.43709308,0.032786885,5.222040873,2.206342189,4.137724551,3.164514808,12.74233695,167.2,0.358894635,0.981374796,1.05869988,0.102560385,0.110641385,39.94308556,143,6,31.35,116.56
59.97,0.9152,16.887,5.9,5.5992,3.2438,0.06,2.64,4.022,0.28,41.41,84.06,9.775029118,33.09,6.59,1.52,4.78,0.58,3.296951594,0.63,1.79,0.23,1.479325272,0.22329808,686,16.84155567,56,768.0413584,6.35,10.60287789,0.654589276,6.07,1.382779273,14.03229488,223.9246,13.57428405,130.4092286,27,81,6.662,2.458798986,0.629566419,56.58061638,7.167374269,40.73257919,19.01599629,56.82320284,13.295957,6.283763278,2.228686048,4.454733604,33.97945372,0.081632653,22.36830576,0.035165052,4.991225374,1.964782865,4.103221999,3.231202826,5.889470911,111.0333333,0.360418011,1.98905518,5.967165539,0.207040562,0.621121686,39.1888194,143,6,31.35,116.56
60.94,0.888,18.14,5.69,2.8608,1.39,0.03,4.1233,6.19,0.3617,52.60029491,99.92561431,11.24,40.70915507,6.926706954,1.784007343,5.34,0.760409578,4.088512854,0.81,2.22,0.320714277,2.05,0.32,624.9953135,20.3,101.6786433,1666.871163,8.020798819,17.05380544,0.91248996,5.85,1.456766022,18.53791342,329.3170262,8.274863072,79.44149766,8,11,10.3133,2.591147533,0.840088938,201.4379149,8.318929483,30.78794648,17.43058039,48.7442021,16.22251361,7.593838639,1.994396514,3.378881441,47.54308626,0.162687049,19.85812442,0.039896276,4.922444055,2.005377097,2.853658537,2.604878049,20.98237335,343.7766667,0.28817734,0.966783369,1.329327133,0.100703036,0.138466675,35.54298244,143,6,31.35,116.56
62.62,0.97,16.7687,6.72,3.38,2.4471,0.04,1.89,6.07,0.38,48.96355125,97.85,11.07894094,39.47,7.161329641,1.861358943,5.829978657,0.829813499,4.790205502,0.92,2.51,0.329238961,2.084092113,0.31,675,25.10777066,44.8,912.2051034,6.44,16.40923264,0.915947907,5.84346039,1.300370307,14.97253146,285.3783454,12.06609175,102.4469355,12,20,7.96,1.950135355,0.653551957,75.60071001,7.873564003,26.88410728,15.96002359,46.95089981,11.36613638,6.837215113,2.298461509,3.43618672,39.84991052,0.06637037,18.93870225,0.048136646,3.897199848,1.572023281,2.803839789,2.797370913,8.904171696,199,0.232735135,0.994522522,1.657537537,0.117133811,0.195223019,34.23838793,143,6,31.35,116.56
