SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
76.83,0.084,13.07,1.2262,0.31,0.1,0.0386,5.52,2.9518,0.016,32.36582715,69.32394153,7.904434117,26,7.2,0.06,7.7,1.06,7.6,1.369517315,3.984542117,0.65,2.635153643,0.36,13.45413162,40,273,49,5.3,26,1.88,28,4,33.90241325,152,8.1,5.083561873,3.525171115,18.03324629,8.4718,0.809145679,0.65,6.049382716,9.866597369,0.336353291,8.343692662,26.30736227,3.8,4.495253771,2.884082308,2.732288502,21.11111111,20.29116466,9.866597369,0.067924528,1.733098538,0.65,10.6255664,2.922030759,9.63891091,219.4766839,0.7,0.43520631,2.226326702,0.693445109,3.547364376,48.45641746,158,0.2,27.55,116.04
70.13,0.5471,14.7571,3.4032,1.7199,0.736,0.0615,4.4875,2.99,0.18,62.82729694,128,15.2,53,8.4,1.257169944,7.528054406,1.188385866,6.4,1.29,3.7,0.56,3.3,0.519266721,243.8128412,29,218.9657362,530,5.9,23.0186133,2.19,24,6.2,29.74114334,221,10.6,47.46890419,12.28574582,22.15687019,7.4775,2.166458515,0.793745286,50,6.975337364,8.407339352,12.93337784,38.78787879,7.620689655,7.479440112,1.939393939,2.545454545,26.30952381,0.898089433,16.06060606,0.088011309,4.413793103,1.827586207,7.272727273,2.281228608,11.16520402,121.5853659,0.827586207,1.159032625,2.090270773,0.258816714,0.466765993,41.70812337,158,0.2,27.55,116.04
69.7547,0.45,15.14,3.4911,1.9,1.1118,0.07,5.09,2.84,0.1638,53,115,15,51,9.35678762,1.3,8.4,1.15,6.510116199,1.267970132,3.818165375,0.56,3.3,0.56,210.9100265,29,226.587735,501,7.2,22,2.34,26.98362289,6.419799604,31.64440274,258,10.6,58,20.16989866,46.60796545,7.93,1.827586207,0.75862069,47.26415094,6.666666667,7.272759534,10.91036952,34.84848485,8.896551724,5.66433718,1.972762485,2.835390188,27.57356589,1.074333633,15.45454545,0.077777778,3.965517241,1.75862069,8.176855421,2.545454545,8.637931034,113.2857143,0.930469755,1.902820628,4.396977873,0.347756873,0.803585611,45.47423777,158,0.2,27.55,116.04
70.9597,0.4575,14.6071,3.0842,1.3131,0.5443,0.11,5.1444,3.2674,0.19,63.48715822,123,14.8,50,9.014952126,1.2,7.791823891,1.13,6.811664694,1.35,4.1,0.58,3.4,0.59,140,39.24291463,219.0691412,428,6.4,23,2.34,21.29070021,4.484352178,28.57374187,223,6.391352047,26.83767161,6.11397021,11.30189015,8.4118,1.617799259,0.586093062,66.96548662,6.764705882,3.567522987,12.68482561,36.17647059,5.682554471,7.042428771,2.003430792,2.651456508,24.73668156,1.56477958,14.70588235,0.0921875,3.134323767,1.274115352,6.26197065,2.291712909,15.94773221,76.47090909,0.54253616,0.956600445,1.768309752,0.22781299,0.421120368,45.23961629,158,0.2,27.55,116.04
70.3,0.41,14.337,3.3751,1.44,0.89,0.07,5.1624,3.0354,0.1499,61.55958015,123.0258232,14.9,51.87462605,9.252330398,1.18,8.1,1.13,6.776032441,1.35,3.9,0.56,3.629140842,0.58,174,38.0770507,273,554,6.7,22,2.39,23,7.9,33.55201677,236,10.3,53,15.37314152,33.40811364,8.1978,1.616710828,0.577775841,53.78640777,6.06204084,4.569681653,11.52310068,33.89943476,6.197959024,6.653413519,1.867117518,2.549454761,25.50708739,1.568965517,14.29391371,0.086567164,3.230970386,1.36235935,6.337588151,2.231933219,10.45283019,117.1114286,0.604038379,1.492538012,3.243506179,0.290059274,0.630341767,45.15753358,158,0.2,27.55,116.04
70.4781,0.39,14.59,3.43,1.63,0.78,0.07,5.1,3.08,0.1438,60.11104313,120.1507749,13.7,46,9.158104042,1.25,7.9,1.147461432,6.898933037,1.437413083,4.1,0.58412927,3.4,0.59,180,39.10611111,296,635.1282273,5.590496018,22,2.269928079,24,8.3,34.12305343,187,9.3,34.35247775,6.142570429,12.18510136,8.18,1.537126588,0.56257192,68.29335777,6.470588235,4.602861161,12.01027295,35.33846321,4.781861318,6.563699523,2.029097952,2.693560012,20.41907355,1.644444444,13.52941176,0.105536253,3.072429641,1.176286741,7.058823529,2.323529412,18.4885711,116.8571429,0.613714822,0.660491444,1.310225953,0.178810113,0.354708078,46.73199947,158,0.2,27.55,116.04
73.9227,0.2476,14.13,1.7,1.32,0.4246,0.04,5.079,3.1461,0.0733,43,90,10.08487232,37,8.062968056,0.659054521,7.5,1.08,6.530391017,1.267894437,3.677008695,0.570192274,3.800357669,0.594006777,81,37,262,86,3.4,19,2.049906899,20,8.2,33.61655739,148,4.034364782,13.59324114,4.086227145,9.492298778,8.2251,1.162162162,0.513513514,21.31686267,4.999529427,2.189189189,7.686374023,23.6819815,4,5.333023733,1.718362214,2.121634003,18.35552355,3.234567901,9.735925727,0.174707876,2.432432432,1,5.262662555,1.973498458,6.32667361,205.6275,0.540540541,1.01285515,2.352860807,0.300607273,0.698310188,48.26664076,140,7,27.55,116.04
75.6435,0.1336,13.4433,1.3884,0.6587,0.27,0.04,5.2958,2.8577,0.03,15.59285146,35,5.7,20.58530347,4.6,0.335372994,4.7,0.966738944,5.978464205,1.24,3.9,0.59,3.5,0.63,35,27,315,167.3967583,3.208104631,18,3.08,21.54737978,8.974432722,34.76506174,85,3.1,8.2,2.640440344,7.159914725,8.1535,0.577513017,0.666666667,53.99895429,5.142857143,1.296296296,3.026460621,10,3.148148148,3.389750317,1.70813263,1.314285714,18.47826087,9,5.881515277,0.196377635,1.296296296,0.762418647,6.156394223,1.342857143,20.41423882,203.8375,0.798051103,0.85175495,2.309649911,0.32200492,0.873160332,50.43821405,140,7,27.55,116.04
75.2866,0.1,13.2949,1.36,0.85,0.27,0.0396,4.9377,2.92,0.0496,31,71,8.221619085,35,6.572867119,0.47,5.8,0.981927536,5.5,1.21,3.466777853,0.53,3.57250586,0.55,70,34.17768786,253.2138329,84,5.1,21.24192332,2.52,24,5.616970969,34.79166901,150.6257319,2.849295489,11,2.56903905,5.036007439,7.8577,0.907024493,0.621514346,29.48097181,5.94594499,2.048119823,5.894761984,19.87400519,4.40713639,4.716358849,1.539535613,1.83984782,22.91629044,3.61734047,9.797044812,0.107843137,2.077378677,1.024059911,6.717973585,1.623510283,7.636363636,198.4267677,0.702212511,0.901640093,1.767457064,0.233549005,0.457818858,45.42305845,140,7,27.55,116.04
71.0224,0.4234,12.64,2.7047,1.5334,0.7487,0.04,5.14,2.9745,0.1322,83.56553702,160,17.7,59,8.5,1.17,8.5,1.1,5.833823656,1.11745226,3.069671375,0.47,2.7,0.426367495,193.3503903,30.77178967,244.5761723,633.9149338,6.6,20,1.65,35.19669175,7.2,34.60995714,272.7301537,4.54085317,29,11.15198099,16.67420125,8.1145,2.715654108,0.649945948,139.6026055,7.407407407,6.283365133,21.0252406,59.25925926,8.862992911,9.831239649,2.160675428,3.148148148,32.08590044,1.264937567,21.85185185,0.064601136,5.199567582,1.917340546,13.03581176,3.148148148,21.85913565,202.8625,1.143797359,2.455921954,3.672041492,0.384551069,0.574972457,51.35992998,140,7,27.55,116.04
76.41,0.08,12.8731,1.4078,1.09,0.33,0.05,4.8777,2.67,0.06,33,79,9.015397754,36,6.57246739,0.53,6.5,0.95,5.680355552,1.15,3.4,0.532814365,3.675057957,0.566383653,93.81841177,37.75906525,320.1495215,105,4.1,23.80975427,3.743902127,33.69956565,14.8,37.88930468,103,3.6,14.1,11.23120366,67.02775506,7.5477,0.873962313,0.630570543,29.16666667,6.478742526,2.484659277,6.099964077,21.49625963,2.727821765,5.020945414,1.545650604,1.788398297,15.67143569,3.412438086,9.795763882,0.138142354,2.09221281,0.953413432,9.169805223,1.76867959,7.446808511,150.954,0.892489404,3.119778794,18.61882085,0.796539267,4.753741494,47.00102076,140,7,27.55,116.04
67.11,0.43,15.8287,4.03,2.2501,0.97,0.07,5.34,2.81,0.235,30.51138482,64.396484,7.261406203,26.04749725,9.771095277,2.26,8.2,1.120911112,4.778015108,0.87,2.4,0.34,2.211725798,0.34,560.1983869,24.3335398,197.1093495,1264.509232,5.297294384,19.46745593,1.481414048,21,4.929254283,25.03226129,206.5324564,9.344598754,64,10.57830139,29.9200549,8.15,1.253881888,0.800025647,135.3197997,8.801930125,23.02165618,9.371479635,29.11594378,8.487563178,3.122616652,2.160310791,4.417860155,21.13708346,0.351856332,11.77700114,0.064183709,2.646408395,1.07043601,9.494847878,3.707512029,19.75795675,116.4285714,0.863006376,1.132023072,3.201855498,0.165285959,0.467500858,42.80673926,140,7,27.55,116.04
69.0102,0.39,14.8993,3.0992,2.37,1.2381,0.0686,5.44,3.1875,0.15,87,169.7014986,17.35322359,58.22004914,8.790222364,1.377876447,6.176872049,0.844251309,4.601036449,0.859454446,2.313667026,0.37,2,0.36,281,24.01152511,208.1308934,744,7.6,19,1.312174229,21,3.24743403,26.98827708,306,9.3,42.63874629,14.62481477,27.56332633,8.6275,3.623260064,0.791286681,80,9.5,11.70271354,29.55063291,84.8507493,12.74388022,9.897360544,2.300518225,4.395111182,34.81140605,0.740679336,29.11002457,0.047368421,7.067501869,2.424671022,10.5,3.088436025,17.44891829,125.7653061,0.874580015,1.572560728,2.96379853,0.342993546,0.64643848,40.70965517,140,7,27.55,116.04
73.9459,0.2666,14,2.0628,0.9324,0.3728,0.06,4.52,3.9993,0.067,74.57765522,143,14.75579911,47,8.4,0.774746706,6.287015108,0.869551477,4.907385197,0.92,2.429407271,0.357306531,2.2,0.35,205,25,151.4974981,409,6.750315923,16.75885586,1.324425125,18,2.899044807,23.97167372,244,3.7,19.42171429,5.61150117,9.941195203,8.5193,2.983106209,0.670354234,110.5405405,7.617661755,8.2,23.02838989,65,9.76,8.878292288,2.230629635,3.818181818,29.04761905,0.739012186,21.36363636,0.051849425,5.72,1.88,8.181818182,2.85773414,21.05890314,141.9883333,0.72,1.516621938,2.686809514,0.288929241,0.511859821,37.74133963,135,7,27.55,116.04
71.2,0.4413,13.71,3.0714,1.6723,0.87,0.08,4.29,4.014,0.13,73,171,17.80597951,58.11913598,9,1.26,6.901858383,0.95,5.3,1.019976503,2.8,0.41,2.446327742,0.37,185,29,146,378,8.552880021,19,1.2,15.82483202,3.250948778,22.39200713,354.9247408,4.1,32.7251705,5.419021883,8.152427986,8.304,2.517241379,0.655172414,92.19512195,7.766743464,6.379310345,20.27149365,69.90069117,12.23878417,8.111111111,2.16651265,3.678983746,39.43608231,0.789189189,23.75770629,0.043260282,5.896551724,2.004108137,6.468811087,2.821313868,11.55074196,103.8,0.545683863,1.321712654,1.98839707,0.165591861,0.249117968,38.97107679,135,7,27.55,116.04
57.3636,0.49,15.8834,7.78,5.4669,2.9337,0.18,5.77,3.3847,0.21,20,49,6.4,24.75486519,5.8,1.31,5.2,0.865963461,5.1,1.043300035,3,0.46,2.904760203,0.44438085,340.1349858,30,189,455,3.4,15.04693179,1.363499291,15.48342417,3.6,27.70356377,139.8677353,23,136,213,400.0739618,9.1547,0.666666667,0.501564393,19.7826087,5.180094307,11.33783286,4.677321686,16.86886234,4.662257843,3.448275862,1.755738734,1.996722481,24.11512678,0.555661746,8.522171697,0.13070025,1.633333333,0.825162173,5.330362263,1.790164983,3.345588235,50.85944444,0.516114139,9.260869565,17.39452008,1.566176471,2.941720307,36.57072652,135,7,27.55,116.04
